agent,iter_no,refactoring_no,refactoring_type,refactoring_description
claude,3,7,Extract Method,"Extract Method private walkInColumnOrderImpl(visitor RealMatrixChangingVisitor, startRow int, endRow int, startColumn int, endColumn int) : double extracted from public walkInColumnOrder(visitor RealMatrixChangingVisitor, startRow int, endRow int, startColumn int, endColumn int) : double in class org.apache.commons.math3.linear.Array2DRowRealMatrix"
claude,3,8,Extract Method,"Extract Method private walkInColumnOrderImpl(visitor RealMatrixPreservingVisitor, startRow int, endRow int, startColumn int, endColumn int) : double extracted from public walkInColumnOrder(visitor RealMatrixPreservingVisitor, startRow int, endRow int, startColumn int, endColumn int) : double in class org.apache.commons.math3.linear.Array2DRowRealMatrix"
claude,3,9,Rename Variable,Rename Variable rowCount : int to nRows : int in method public add(m Array2DRowRealMatrix) : Array2DRowRealMatrix from class org.apache.commons.math3.linear.Array2DRowRealMatrix
claude,3,10,Rename Variable,Rename Variable columnCount : int to nCols : int in method public add(m Array2DRowRealMatrix) : Array2DRowRealMatrix from class org.apache.commons.math3.linear.Array2DRowRealMatrix
claude,3,11,Rename Variable,Rename Variable rowCount : int to nRows : int in method public subtract(m Array2DRowRealMatrix) : Array2DRowRealMatrix from class org.apache.commons.math3.linear.Array2DRowRealMatrix
claude,3,12,Rename Variable,Rename Variable columnCount : int to nCols : int in method public subtract(m Array2DRowRealMatrix) : Array2DRowRealMatrix from class org.apache.commons.math3.linear.Array2DRowRealMatrix
claude,3,13,Inline Variable,Inline Variable rows : int in method public walkInRowOrder(visitor RealMatrixChangingVisitor) : double from class org.apache.commons.math3.linear.Array2DRowRealMatrix
claude,3,14,Inline Variable,Inline Variable columns : int in method public walkInRowOrder(visitor RealMatrixChangingVisitor) : double from class org.apache.commons.math3.linear.Array2DRowRealMatrix
claude,3,15,Inline Variable,Inline Variable rows : int in method public walkInRowOrder(visitor RealMatrixPreservingVisitor) : double from class org.apache.commons.math3.linear.Array2DRowRealMatrix
claude,3,16,Inline Variable,Inline Variable columns : int in method public walkInRowOrder(visitor RealMatrixPreservingVisitor) : double from class org.apache.commons.math3.linear.Array2DRowRealMatrix
claude,3,17,Inline Variable,Inline Variable rows : int in method public walkInColumnOrder(visitor RealMatrixChangingVisitor) : double from class org.apache.commons.math3.linear.Array2DRowRealMatrix
claude,3,18,Inline Variable,Inline Variable columns : int in method public walkInColumnOrder(visitor RealMatrixChangingVisitor) : double from class org.apache.commons.math3.linear.Array2DRowRealMatrix
claude,3,19,Inline Variable,Inline Variable rows : int in method public walkInColumnOrder(visitor RealMatrixPreservingVisitor) : double from class org.apache.commons.math3.linear.Array2DRowRealMatrix
claude,3,20,Inline Variable,Inline Variable columns : int in method public walkInColumnOrder(visitor RealMatrixPreservingVisitor) : double from class org.apache.commons.math3.linear.Array2DRowRealMatrix
claude,5,1,Extract Method,"Extract Method private initializeDataFrom(subMatrix double[][], row int, column int) : void extracted from public setSubMatrix(subMatrix double[][], row int, column int) : void in class org.apache.commons.math3.linear.Array2DRowRealMatrix"
claude,6,1,Extract Method,"Extract Method private dotProduct(a double[], b double[], length int) : double extracted from public multiply(m Array2DRowRealMatrix) : Array2DRowRealMatrix in class org.apache.commons.math3.linear.Array2DRowRealMatrix"
claude,6,2,Extract Method,"Extract Method private checkVectorLength(v double[], expectedLength int) : void extracted from public operate(v double[]) : double[] in class org.apache.commons.math3.linear.Array2DRowRealMatrix"
claude,6,3,Extract Method,"Extract Method private dotProduct(a double[], b double[], length int) : double extracted from public operate(v double[]) : double[] in class org.apache.commons.math3.linear.Array2DRowRealMatrix"
claude,6,4,Extract Method,"Extract Method private checkVectorLength(v double[], expectedLength int) : void extracted from public preMultiply(v double[]) : double[] in class org.apache.commons.math3.linear.Array2DRowRealMatrix"
claude,6,5,Inline Variable,Inline Variable dataRow : double[] in method public multiply(m Array2DRowRealMatrix) : Array2DRowRealMatrix from class org.apache.commons.math3.linear.Array2DRowRealMatrix
claude,6,6,Parameterize Variable,"Parameterize Variable mCol : double[] to b : double[] in method private dotProduct(a double[], b double[], length int) : double from class org.apache.commons.math3.linear.Array2DRowRealMatrix"
claude,6,7,Parameterize Variable,"Parameterize Variable nSum : int to length : int in method private dotProduct(a double[], b double[], length int) : double from class org.apache.commons.math3.linear.Array2DRowRealMatrix"
claude,6,8,Parameterize Variable,"Parameterize Variable nCols : int to expectedLength : int in method private checkVectorLength(v double[], expectedLength int) : void from class org.apache.commons.math3.linear.Array2DRowRealMatrix"
claude,6,9,Inline Variable,Inline Variable dataRow : double[] in method public operate(v double[]) : double[] from class org.apache.commons.math3.linear.Array2DRowRealMatrix
claude,6,10,Parameterize Variable,"Parameterize Variable nCols : int to length : int in method private dotProduct(a double[], b double[], length int) : double from class org.apache.commons.math3.linear.Array2DRowRealMatrix"
claude,6,11,Parameterize Variable,"Parameterize Variable nRows : int to expectedLength : int in method private checkVectorLength(v double[], expectedLength int) : void from class org.apache.commons.math3.linear.Array2DRowRealMatrix"
claude,7,1,Extract Method,"Extract Method private dotProduct(a double[], b double[], length int) : double extracted from public multiply(m Array2DRowRealMatrix) : Array2DRowRealMatrix in class org.apache.commons.math3.linear.Array2DRowRealMatrix"
claude,7,2,Extract Method,"Extract Method private checkVectorLength(v double[], expectedLength int) : void extracted from public operate(v double[]) : double[] in class org.apache.commons.math3.linear.Array2DRowRealMatrix"
claude,7,3,Extract Method,"Extract Method private dotProduct(a double[], b double[], length int) : double extracted from public operate(v double[]) : double[] in class org.apache.commons.math3.linear.Array2DRowRealMatrix"
claude,7,4,Extract Method,"Extract Method private checkVectorLength(v double[], expectedLength int) : void extracted from public preMultiply(v double[]) : double[] in class org.apache.commons.math3.linear.Array2DRowRealMatrix"
claude,7,5,Inline Variable,Inline Variable dataRow : double[] in method public multiply(m Array2DRowRealMatrix) : Array2DRowRealMatrix from class org.apache.commons.math3.linear.Array2DRowRealMatrix
claude,7,6,Parameterize Variable,"Parameterize Variable mCol : double[] to b : double[] in method private dotProduct(a double[], b double[], length int) : double from class org.apache.commons.math3.linear.Array2DRowRealMatrix"
claude,7,7,Parameterize Variable,"Parameterize Variable nSum : int to length : int in method private dotProduct(a double[], b double[], length int) : double from class org.apache.commons.math3.linear.Array2DRowRealMatrix"
claude,7,8,Parameterize Variable,"Parameterize Variable nCols : int to expectedLength : int in method private checkVectorLength(v double[], expectedLength int) : void from class org.apache.commons.math3.linear.Array2DRowRealMatrix"
claude,7,9,Inline Variable,Inline Variable dataRow : double[] in method public operate(v double[]) : double[] from class org.apache.commons.math3.linear.Array2DRowRealMatrix
claude,7,10,Parameterize Variable,"Parameterize Variable nCols : int to length : int in method private dotProduct(a double[], b double[], length int) : double from class org.apache.commons.math3.linear.Array2DRowRealMatrix"
claude,7,11,Parameterize Variable,"Parameterize Variable nRows : int to expectedLength : int in method private checkVectorLength(v double[], expectedLength int) : void from class org.apache.commons.math3.linear.Array2DRowRealMatrix"
