agent,iter_no,refactoring_no,refactoring_type,refactoring_description
claude,1,34,Parameterize Variable,"Parameterize Variable b1Low : double to bLow : double in method private twoProductLow(aHigh double, aLow double, bHigh double, bLow double, prodHigh double) : double from class org.apache.commons.math3.util.MathArrays"
claude,1,35,Parameterize Variable,"Parameterize Variable b1Low : double to bLow : double in method private twoProductLow(aHigh double, aLow double, bHigh double, bLow double, prodHigh double) : double from class org.apache.commons.math3.util.MathArrays"
claude,1,36,Parameterize Variable,"Parameterize Variable prod1High : double to prodHigh : double in method private twoProductLow(aHigh double, aLow double, bHigh double, bLow double, prodHigh double) : double from class org.apache.commons.math3.util.MathArrays"
claude,1,37,Parameterize Variable,"Parameterize Variable prod1High : double to prodHigh : double in method private twoProductLow(aHigh double, aLow double, bHigh double, bLow double, prodHigh double) : double from class org.apache.commons.math3.util.MathArrays"
claude,1,38,Parameterize Variable,"Parameterize Variable prod1High : double to prodHigh : double in method private twoProductLow(aHigh double, aLow double, bHigh double, bLow double, prodHigh double) : double from class org.apache.commons.math3.util.MathArrays"
claude,1,39,Rename Parameter,Rename Parameter b3 : double to x : double in method private highPart(x double) : double from class org.apache.commons.math3.util.MathArrays
claude,1,40,Rename Parameter,Rename Parameter b4 : double to x : double in method private highPart(x double) : double from class org.apache.commons.math3.util.MathArrays
claude,1,41,Merge Conditional,"Merge Conditional [if(comp >= 0), if(strict), if(comp > 0)] to if(strict ? comp >= 0 : comp > 0) in method public isMonotonic(val T[], dir OrderDirection, strict boolean) : boolean from class org.apache.commons.math3.util.MathArrays"
claude,2,1,Extract Method,"Extract Method private twoSumLow(a double, b double, sHigh double) : double extracted from public linearCombination(a double[], b double[]) : double in class org.apache.commons.math3.util.MathArrays"
claude,2,2,Extract Method,"Extract Method private twoSumLow(a double, b double, sHigh double) : double extracted from public linearCombination(a double[], b double[]) : double in class org.apache.commons.math3.util.MathArrays"
claude,2,3,Extract Method,"Extract Method private twoSumLow(a double, b double, sHigh double) : double extracted from public linearCombination(a1 double, b1 double, a2 double, b2 double) : double in class org.apache.commons.math3.util.MathArrays"
claude,2,4,Extract Method,"Extract Method private twoSumLow(a double, b double, sHigh double) : double extracted from public linearCombination(a1 double, b1 double, a2 double, b2 double, a3 double, b3 double) : double in class org.apache.commons.math3.util.MathArrays"
claude,2,5,Extract Method,"Extract Method private twoSumLow(a double, b double, sHigh double) : double extracted from public linearCombination(a1 double, b1 double, a2 double, b2 double, a3 double, b3 double) : double in class org.apache.commons.math3.util.MathArrays"
claude,2,6,Extract Method,"Extract Method private twoSumLow(a double, b double, sHigh double) : double extracted from public linearCombination(a1 double, b1 double, a2 double, b2 double, a3 double, b3 double, a4 double, b4 double) : double in class org.apache.commons.math3.util.MathArrays"
claude,2,7,Extract Method,"Extract Method private twoSumLow(a double, b double, sHigh double) : double extracted from public linearCombination(a1 double, b1 double, a2 double, b2 double, a3 double, b3 double, a4 double, b4 double) : double in class org.apache.commons.math3.util.MathArrays"
claude,2,8,Extract Method,"Extract Method private twoSumLow(a double, b double, sHigh double) : double extracted from public linearCombination(a1 double, b1 double, a2 double, b2 double, a3 double, b3 double, a4 double, b4 double) : double in class org.apache.commons.math3.util.MathArrays"
claude,2,9,Add Variable Modifier,"Add Variable Modifier final in variable sPrime : double in method private twoSumLow(a double, b double, sHigh double) : double from class org.apache.commons.math3.util.MathArrays"
claude,2,10,Parameterize Variable,"Parameterize Variable sHighCur : double to sHigh : double in method private twoSumLow(a double, b double, sHigh double) : double from class org.apache.commons.math3.util.MathArrays"
claude,2,11,Add Parameter Modifier,"Add Parameter Modifier final in parameter sHigh : double in method private twoSumLow(a double, b double, sHigh double) : double from class org.apache.commons.math3.util.MathArrays"
claude,2,12,Parameterize Variable,"Parameterize Variable sHighPrev : double to sHigh : double in method private twoSumLow(a double, b double, sHigh double) : double from class org.apache.commons.math3.util.MathArrays"
claude,2,13,Parameterize Variable,"Parameterize Variable prod2High : double to b : double in method private twoSumLow(a double, b double, sHigh double) : double from class org.apache.commons.math3.util.MathArrays"
claude,2,14,Parameterize Variable,"Parameterize Variable prod2High : double to b : double in method private twoSumLow(a double, b double, sHigh double) : double from class org.apache.commons.math3.util.MathArrays"
claude,2,15,Parameterize Variable,"Parameterize Variable prod2High : double to b : double in method private twoSumLow(a double, b double, sHigh double) : double from class org.apache.commons.math3.util.MathArrays"
claude,2,16,Parameterize Variable,"Parameterize Variable s12High : double to sHigh : double in method private twoSumLow(a double, b double, sHigh double) : double from class org.apache.commons.math3.util.MathArrays"
claude,2,17,Parameterize Variable,"Parameterize Variable s12High : double to sHigh : double in method private twoSumLow(a double, b double, sHigh double) : double from class org.apache.commons.math3.util.MathArrays"
claude,2,18,Parameterize Variable,"Parameterize Variable s12High : double to sHigh : double in method private twoSumLow(a double, b double, sHigh double) : double from class org.apache.commons.math3.util.MathArrays"
claude,2,19,Rename Variable,"Rename Variable s12Prime : double to sPrime : double in method private twoSumLow(a double, b double, sHigh double) : double from class org.apache.commons.math3.util.MathArrays"
claude,2,20,Rename Variable,"Rename Variable s12Prime : double to sPrime : double in method private twoSumLow(a double, b double, sHigh double) : double from class org.apache.commons.math3.util.MathArrays"
claude,2,21,Rename Variable,"Rename Variable s12Prime : double to sPrime : double in method private twoSumLow(a double, b double, sHigh double) : double from class org.apache.commons.math3.util.MathArrays"
claude,2,22,Parameterize Variable,"Parameterize Variable prod1High : double to a : double in method private twoSumLow(a double, b double, sHigh double) : double from class org.apache.commons.math3.util.MathArrays"
claude,2,23,Parameterize Variable,"Parameterize Variable prod1High : double to a : double in method private twoSumLow(a double, b double, sHigh double) : double from class org.apache.commons.math3.util.MathArrays"
claude,2,24,Parameterize Variable,"Parameterize Variable prod1High : double to a : double in method private twoSumLow(a double, b double, sHigh double) : double from class org.apache.commons.math3.util.MathArrays"
claude,2,25,Parameterize Variable,"Parameterize Variable prod3High : double to b : double in method private twoSumLow(a double, b double, sHigh double) : double from class org.apache.commons.math3.util.MathArrays"
claude,2,26,Parameterize Variable,"Parameterize Variable prod3High : double to b : double in method private twoSumLow(a double, b double, sHigh double) : double from class org.apache.commons.math3.util.MathArrays"
claude,2,27,Parameterize Variable,"Parameterize Variable s123High : double to sHigh : double in method private twoSumLow(a double, b double, sHigh double) : double from class org.apache.commons.math3.util.MathArrays"
claude,2,28,Parameterize Variable,"Parameterize Variable s123High : double to sHigh : double in method private twoSumLow(a double, b double, sHigh double) : double from class org.apache.commons.math3.util.MathArrays"
claude,2,29,Rename Variable,"Rename Variable s123Prime : double to sPrime : double in method private twoSumLow(a double, b double, sHigh double) : double from class org.apache.commons.math3.util.MathArrays"
claude,2,30,Rename Variable,"Rename Variable s123Prime : double to sPrime : double in method private twoSumLow(a double, b double, sHigh double) : double from class org.apache.commons.math3.util.MathArrays"
claude,2,31,Parameterize Variable,"Parameterize Variable s12High : double to a : double in method private twoSumLow(a double, b double, sHigh double) : double from class org.apache.commons.math3.util.MathArrays"
claude,2,32,Parameterize Variable,"Parameterize Variable s12High : double to a : double in method private twoSumLow(a double, b double, sHigh double) : double from class org.apache.commons.math3.util.MathArrays"
claude,2,33,Parameterize Variable,"Parameterize Variable prod4High : double to b : double in method private twoSumLow(a double, b double, sHigh double) : double from class org.apache.commons.math3.util.MathArrays"
claude,2,34,Parameterize Variable,"Parameterize Variable s1234High : double to sHigh : double in method private twoSumLow(a double, b double, sHigh double) : double from class org.apache.commons.math3.util.MathArrays"
claude,2,35,Rename Variable,"Rename Variable s1234Prime : double to sPrime : double in method private twoSumLow(a double, b double, sHigh double) : double from class org.apache.commons.math3.util.MathArrays"
claude,2,36,Parameterize Variable,"Parameterize Variable s123High : double to a : double in method private twoSumLow(a double, b double, sHigh double) : double from class org.apache.commons.math3.util.MathArrays"
claude,3,1,Move Code,"Move Code from public linearCombination(a double[], b double[]) : double to private twoProductLow(a double, b double, prodHigh double) : double in class org.apache.commons.math3.util.MathArrays"
claude,3,2,Inline Variable,"Inline Variable aHigh : double in method public linearCombination(a double[], b double[]) : double from class org.apache.commons.math3.util.MathArrays"
claude,3,3,Merge Variable,"Merge Variable [a1High : double, a1Low : double] to a1 : double in method public linearCombination(a1 double, b1 double, a2 double, b2 double) : double from class org.apache.commons.math3.util.MathArrays"
claude,3,4,Merge Variable,"Merge Variable [b1High : double, b1Low : double] to b1 : double in method public linearCombination(a1 double, b1 double, a2 double, b2 double) : double from class org.apache.commons.math3.util.MathArrays"
claude,3,5,Merge Variable,"Merge Variable [a2High : double, a2Low : double] to a2 : double in method public linearCombination(a1 double, b1 double, a2 double, b2 double) : double from class org.apache.commons.math3.util.MathArrays"
claude,3,6,Merge Variable,"Merge Variable [b2High : double, b2Low : double] to b2 : double in method public linearCombination(a1 double, b1 double, a2 double, b2 double) : double from class org.apache.commons.math3.util.MathArrays"
claude,3,7,Merge Variable,"Merge Variable [a1High : double, a1Low : double] to a1 : double in method public linearCombination(a1 double, b1 double, a2 double, b2 double, a3 double, b3 double) : double from class org.apache.commons.math3.util.MathArrays"
claude,3,8,Merge Variable,"Merge Variable [b1High : double, b1Low : double] to b1 : double in method public linearCombination(a1 double, b1 double, a2 double, b2 double, a3 double, b3 double) : double from class org.apache.commons.math3.util.MathArrays"
claude,3,9,Merge Variable,"Merge Variable [a2High : double, a2Low : double] to a2 : double in method public linearCombination(a1 double, b1 double, a2 double, b2 double, a3 double, b3 double) : double from class org.apache.commons.math3.util.MathArrays"
claude,3,10,Merge Variable,"Merge Variable [b2High : double, b2Low : double] to b2 : double in method public linearCombination(a1 double, b1 double, a2 double, b2 double, a3 double, b3 double) : double from class org.apache.commons.math3.util.MathArrays"
claude,3,11,Merge Variable,"Merge Variable [a3High : double, a3Low : double] to a3 : double in method public linearCombination(a1 double, b1 double, a2 double, b2 double, a3 double, b3 double) : double from class org.apache.commons.math3.util.MathArrays"
claude,3,12,Merge Variable,"Merge Variable [b3High : double, b3Low : double] to b3 : double in method public linearCombination(a1 double, b1 double, a2 double, b2 double, a3 double, b3 double) : double from class org.apache.commons.math3.util.MathArrays"
claude,3,13,Merge Variable,"Merge Variable [a1High : double, a1Low : double] to a1 : double in method public linearCombination(a1 double, b1 double, a2 double, b2 double, a3 double, b3 double, a4 double, b4 double) : double from class org.apache.commons.math3.util.MathArrays"
claude,3,14,Merge Variable,"Merge Variable [b1High : double, b1Low : double] to b1 : double in method public linearCombination(a1 double, b1 double, a2 double, b2 double, a3 double, b3 double, a4 double, b4 double) : double from class org.apache.commons.math3.util.MathArrays"
claude,3,15,Merge Variable,"Merge Variable [a2High : double, a2Low : double] to a2 : double in method public linearCombination(a1 double, b1 double, a2 double, b2 double, a3 double, b3 double, a4 double, b4 double) : double from class org.apache.commons.math3.util.MathArrays"
claude,3,16,Merge Variable,"Merge Variable [b2High : double, b2Low : double] to b2 : double in method public linearCombination(a1 double, b1 double, a2 double, b2 double, a3 double, b3 double, a4 double, b4 double) : double from class org.apache.commons.math3.util.MathArrays"
claude,3,17,Merge Variable,"Merge Variable [a3High : double, a3Low : double] to a3 : double in method public linearCombination(a1 double, b1 double, a2 double, b2 double, a3 double, b3 double, a4 double, b4 double) : double from class org.apache.commons.math3.util.MathArrays"
claude,3,18,Merge Variable,"Merge Variable [b3High : double, b3Low : double] to b3 : double in method public linearCombination(a1 double, b1 double, a2 double, b2 double, a3 double, b3 double, a4 double, b4 double) : double from class org.apache.commons.math3.util.MathArrays"
claude,3,19,Merge Variable,"Merge Variable [a4High : double, a4Low : double] to a4 : double in method public linearCombination(a1 double, b1 double, a2 double, b2 double, a3 double, b3 double, a4 double, b4 double) : double from class org.apache.commons.math3.util.MathArrays"
claude,3,20,Merge Variable,"Merge Variable [b4High : double, b4Low : double] to b4 : double in method public linearCombination(a1 double, b1 double, a2 double, b2 double, a3 double, b3 double, a4 double, b4 double) : double from class org.apache.commons.math3.util.MathArrays"
claude,3,21,Localize Parameter,"Localize Parameter aHigh : double to aHigh : double in method private twoProductLow(a double, b double, prodHigh double) : double from class org.apache.commons.math3.util.MathArrays"
claude,3,22,Localize Parameter,"Localize Parameter aLow : double to aLow : double in method private twoProductLow(a double, b double, prodHigh double) : double from class org.apache.commons.math3.util.MathArrays"
claude,3,23,Localize Parameter,"Localize Parameter bHigh : double to bHigh : double in method private twoProductLow(a double, b double, prodHigh double) : double from class org.apache.commons.math3.util.MathArrays"
claude,3,24,Localize Parameter,"Localize Parameter bLow : double to bLow : double in method private twoProductLow(a double, b double, prodHigh double) : double from class org.apache.commons.math3.util.MathArrays"
claude,3,25,Add Parameter,"Add Parameter a : double in method private twoProductLow(a double, b double, prodHigh double) : double from class org.apache.commons.math3.util.MathArrays"
claude,3,26,Add Parameter,"Add Parameter b : double in method private twoProductLow(a double, b double, prodHigh double) : double from class org.apache.commons.math3.util.MathArrays"
claude,4,1,Extract Method,"Extract Method private checkEqualLength(lenA int, lenB int, abort boolean) : boolean extracted from public checkEqualLength(a double[], b double[], abort boolean) : boolean in class org.apache.commons.math3.util.MathArrays"
claude,4,2,Extract Method,"Extract Method private checkEqualLength(lenA int, lenB int, abort boolean) : boolean extracted from public checkEqualLength(a int[], b int[], abort boolean) : boolean in class org.apache.commons.math3.util.MathArrays"
claude,4,3,Extract Method,"Extract Method private swap(list int[], i int, j int) : void extracted from public shuffle(list int[], start int, pos Position, rng RandomGenerator) : void in class org.apache.commons.math3.util.MathArrays"
claude,4,4,Extract Method,"Extract Method private swap(list int[], i int, j int) : void extracted from public shuffle(list int[], start int, pos Position, rng RandomGenerator) : void in class org.apache.commons.math3.util.MathArrays"
claude,4,5,Remove Variable Modifier,"Remove Variable Modifier final in variable target : int in method public shuffle(list int[], start int, pos Position, rng RandomGenerator) : void from class org.apache.commons.math3.util.MathArrays"
claude,4,6,Remove Variable Modifier,"Remove Variable Modifier final in variable target : int in method public shuffle(list int[], start int, pos Position, rng RandomGenerator) : void from class org.apache.commons.math3.util.MathArrays"
claude,4,7,Parameterize Variable,"Parameterize Variable target : int to j : int in method private swap(list int[], i int, j int) : void from class org.apache.commons.math3.util.MathArrays"
claude,4,8,Parameterize Variable,"Parameterize Variable target : int to j : int in method private swap(list int[], i int, j int) : void from class org.apache.commons.math3.util.MathArrays"
claude,4,9,Add Variable Modifier,Add Variable Modifier final in variable curLength : int in method public concatenate(x double[]...) : double[] from class org.apache.commons.math3.util.MathArrays
claude,5,1,Extract Method,"Extract Method private violatesOrder(previous double, current double, dir OrderDirection, strict boolean) : boolean extracted from public checkOrder(val double[], dir OrderDirection, strict boolean, abort boolean) : boolean in class org.apache.commons.math3.util.MathArrays"
claude,5,2,Replace Conditional With Ternary,"Replace Conditional With Ternary if(val[index] <= previous) to return strict ? current <= previous : current < previous; in method private violatesOrder(previous double, current double, dir OrderDirection, strict boolean) : boolean from class org.apache.commons.math3.util.MathArrays"
claude,5,3,Replace Conditional With Ternary,"Replace Conditional With Ternary if(val[index] < previous) to return strict ? current <= previous : current < previous; in method private violatesOrder(previous double, current double, dir OrderDirection, strict boolean) : boolean from class org.apache.commons.math3.util.MathArrays"
claude,5,4,Replace Conditional With Ternary,"Replace Conditional With Ternary if(strict) to return strict ? current <= previous : current < previous; in method private violatesOrder(previous double, current double, dir OrderDirection, strict boolean) : boolean from class org.apache.commons.math3.util.MathArrays"
claude,5,5,Replace Conditional With Ternary,"Replace Conditional With Ternary if(strict) to return strict ? current <= previous : current < previous; in method private violatesOrder(previous double, current double, dir OrderDirection, strict boolean) : boolean from class org.apache.commons.math3.util.MathArrays"
claude,5,6,Replace Conditional With Ternary,"Replace Conditional With Ternary if(val[index] >= previous) to return strict ? current >= previous : current > previous; in method private violatesOrder(previous double, current double, dir OrderDirection, strict boolean) : boolean from class org.apache.commons.math3.util.MathArrays"
claude,5,7,Replace Conditional With Ternary,"Replace Conditional With Ternary if(val[index] > previous) to return strict ? current >= previous : current > previous; in method private violatesOrder(previous double, current double, dir OrderDirection, strict boolean) : boolean from class org.apache.commons.math3.util.MathArrays"
claude,5,8,Change Parameter Type,"Change Parameter Type val : double[] to current : double in method private violatesOrder(previous double, current double, dir OrderDirection, strict boolean) : boolean from class org.apache.commons.math3.util.MathArrays"
claude,5,9,Rename Parameter,"Rename Parameter val : double[] to current : double in method private violatesOrder(previous double, current double, dir OrderDirection, strict boolean) : boolean from class org.apache.commons.math3.util.MathArrays"
claude,5,10,Extract Variable,"Extract Variable current : double in method public checkOrder(val double[], dir OrderDirection, strict boolean, abort boolean) : boolean from class org.apache.commons.math3.util.MathArrays"
claude,6,1,Add Variable Modifier,Add Variable Modifier final in variable iterator : Iterator<Double> in method public unique(data double[]) : double[] from class org.apache.commons.math3.util.MathArrays
claude,7,1,Extract Method,"Extract Method private validateWeight(weight double, index int) : boolean extracted from public verifyValues(values double[], weights double[], begin int, length int, allowEmpty boolean) : boolean in class org.apache.commons.math3.util.MathArrays"
claude,7,2,Add Parameter Modifier,"Add Parameter Modifier final in parameter index : int in method private validateWeight(weight double, index int) : boolean from class org.apache.commons.math3.util.MathArrays"
claude,7,3,Parameterize Variable,"Parameterize Variable weight : double to weight : double in method private validateWeight(weight double, index int) : boolean from class org.apache.commons.math3.util.MathArrays"
claude,7,4,Parameterize Variable,"Parameterize Variable i : int to index : int in method private validateWeight(weight double, index int) : boolean from class org.apache.commons.math3.util.MathArrays"
claude,7,5,Extract Variable,"Extract Variable current : T in method public isMonotonic(val T[], dir OrderDirection, strict boolean) : boolean from class org.apache.commons.math3.util.MathArrays"
claude,8,1,Extract Method,"Extract Method private isIncreasing(dir OrderDirection) : boolean extracted from public isMonotonic(val T[], dir OrderDirection, strict boolean) : boolean in class org.apache.commons.math3.util.MathArrays"
claude,8,2,Extract Method,"Extract Method private isIncreasing(dir OrderDirection) : boolean extracted from private violatesOrder(previous double, current double, dir OrderDirection, strict boolean) : boolean in class org.apache.commons.math3.util.MathArrays"
claude,8,3,Extract Variable,"Extract Variable increasing : boolean in method public isMonotonic(val T[], dir OrderDirection, strict boolean) : boolean from class org.apache.commons.math3.util.MathArrays"
claude,8,4,Inline Variable,"Inline Variable lenMinusOne : int in method public linearCombination(a double[], b double[]) : double from class org.apache.commons.math3.util.MathArrays"
claude,9,1,Extract Method,"Extract Method private checkNormalizedSum(normalizedSum double) : void extracted from public normalizeArray(values double[], normalizedSum double) : double[] in class org.apache.commons.math3.util.MathArrays"
claude,9,2,Extract Method,"Extract Method private sumIgnoringNaNCheckingInfinite(values double[]) : double extracted from public normalizeArray(values double[], normalizedSum double) : double[] in class org.apache.commons.math3.util.MathArrays"
claude,9,3,Extract Variable,Extract Variable v : double in method private sumIgnoringNaNCheckingInfinite(values double[]) : double from class org.apache.commons.math3.util.MathArrays
claude,9,4,Invert Condition,Invert Condition if(Double.isNaN(normalizedSum)) to if(!Double.isNaN(v)) in method private sumIgnoringNaNCheckingInfinite(values double[]) : double from class org.apache.commons.math3.util.MathArrays
claude,9,5,Add Variable Modifier,"Add Variable Modifier final in variable out : double[] in method public normalizeArray(values double[], normalizedSum double) : double[] from class org.apache.commons.math3.util.MathArrays"
claude,9,6,Add Variable Modifier,"Add Variable Modifier final in variable sum : double in method public normalizeArray(values double[], normalizedSum double) : double[] from class org.apache.commons.math3.util.MathArrays"
claude,10,1,Extract Method,"Extract Method private checkCompanionArrays(yList double[][], expectedLen int) : void extracted from public sortInPlace(x double[], dir OrderDirection, yList double[]...) : void in class org.apache.commons.math3.util.MathArrays"
claude,10,2,Extract Method,"Extract Method private keyComparator(dir OrderDirection) : Comparator<PairDoubleInteger> extracted from public sortInPlace(x double[], dir OrderDirection, yList double[]...) : void in class org.apache.commons.math3.util.MathArrays"
claude,10,3,Extract Method,"Extract Method private applyPermutation(target double[], indices int[]) : void extracted from public sortInPlace(x double[], dir OrderDirection, yList double[]...) : void in class org.apache.commons.math3.util.MathArrays"
claude,10,4,Extract Method,"Extract Method private naiveDotProduct(a double[], b double[]) : double extracted from public linearCombination(a double[], b double[]) : double in class org.apache.commons.math3.util.MathArrays"
claude,10,5,Inline Variable,"Inline Variable yListLen : int in method public sortInPlace(x double[], dir OrderDirection, yList double[]...) : void from class org.apache.commons.math3.util.MathArrays"
claude,10,6,Remove Variable Modifier,"Remove Variable Modifier final in variable len : int in method public sortInPlace(x double[], dir OrderDirection, yList double[]...) : void from class org.apache.commons.math3.util.MathArrays"
claude,10,7,Parameterize Variable,"Parameterize Variable len : int to expectedLen : int in method private checkCompanionArrays(yList double[][], expectedLen int) : void from class org.apache.commons.math3.util.MathArrays"
claude,10,8,Inline Variable,"Inline Variable yInPlace : double[] in method public sortInPlace(x double[], dir OrderDirection, yList double[]...) : void from class org.apache.commons.math3.util.MathArrays"
claude,10,9,Rename Variable,"Rename Variable yOrig : double[] to orig : double[] in method private applyPermutation(target double[], indices int[]) : void from class org.apache.commons.math3.util.MathArrays"
claude,11,1,Inline Variable,Inline Variable curLength : int in method public concatenate(x double[]...) : double[] from class org.apache.commons.math3.util.MathArrays
claude,12,1,Extract Variable,"Extract Variable end : int in method public verifyValues(values double[], begin int, length int, allowEmpty boolean) : boolean from class org.apache.commons.math3.util.MathArrays"
claude,12,2,Extract Variable,"Extract Variable end : int in method public verifyValues(values double[], weights double[], begin int, length int, allowEmpty boolean) : boolean from class org.apache.commons.math3.util.MathArrays"
claude,13,1,Extract Method,"Extract Method private floatArraysEqual(x float[], y float[], nanAware boolean) : boolean extracted from public equals(x float[], y float[]) : boolean in class org.apache.commons.math3.util.MathArrays"
claude,13,2,Extract Method,"Extract Method private floatArraysEqual(x float[], y float[], nanAware boolean) : boolean extracted from public equalsIncludingNaN(x float[], y float[]) : boolean in class org.apache.commons.math3.util.MathArrays"
