agent,iter_no,refactoring_no,refactoring_type,refactoring_description
claude,2,13,Rename Parameter,Rename Parameter unscaled : double to value : double in method private floorTowardNegative(value double) : double from class org.apache.commons.math3.util.Precision
claude,2,14,Rename Parameter,Rename Parameter unscaled : double to value : double in method private ceilTowardPositive(value double) : double from class org.apache.commons.math3.util.Precision
claude,2,15,Merge Conditional,"Merge Conditional [return 1;, if(x < y)] to return x < y ? -1 : 1; in method public compareTo(x double, y double, eps double) : int from class org.apache.commons.math3.util.Precision"
claude,2,16,Replace Conditional With Ternary,"Replace Conditional With Ternary if(x < y) to return x < y ? -1 : 1; in method public compareTo(x double, y double, eps double) : int from class org.apache.commons.math3.util.Precision"
claude,2,17,Merge Conditional,"Merge Conditional [return 1;, if(x < y)] to return x < y ? -1 : 1; in method public compareTo(x double, y double, maxUlps int) : int from class org.apache.commons.math3.util.Precision"
claude,2,18,Replace Conditional With Ternary,"Replace Conditional With Ternary if(x < y) to return x < y ? -1 : 1; in method public compareTo(x double, y double, maxUlps int) : int from class org.apache.commons.math3.util.Precision"
claude,2,19,Change Variable Type,"Change Variable Type xInt : int to xBits : long in method public equals(x float, y float, maxUlps int) : boolean from class org.apache.commons.math3.util.Precision"
claude,2,20,Change Variable Type,"Change Variable Type yInt : int to yBits : long in method public equals(x float, y float, maxUlps int) : boolean from class org.apache.commons.math3.util.Precision"
claude,2,21,Rename Variable,"Rename Variable xInt : int to xBits : long in method public equals(x float, y float, maxUlps int) : boolean from class org.apache.commons.math3.util.Precision"
claude,2,22,Rename Variable,"Rename Variable yInt : int to yBits : long in method public equals(x float, y float, maxUlps int) : boolean from class org.apache.commons.math3.util.Precision"
claude,2,23,Rename Variable,"Rename Variable xInt : long to xBits : long in method public equals(x double, y double, maxUlps int) : boolean from class org.apache.commons.math3.util.Precision"
claude,2,24,Rename Variable,"Rename Variable yInt : long to yBits : long in method public equals(x double, y double, maxUlps int) : boolean from class org.apache.commons.math3.util.Precision"
claude,2,25,Parameterize Attribute,"Parameterize Attribute POSITIVE_ZERO_FLOAT_BITS : int to positiveZeroBits : long in method private equalsByUlpDistance(xBits long, yBits long, signMask long, positiveZeroBits long, negativeZeroBits long, maxUlps int) : boolean from class org.apache.commons.math3.util.Precision"
claude,2,26,Parameterize Attribute,"Parameterize Attribute NEGATIVE_ZERO_FLOAT_BITS : int to negativeZeroBits : long in method private equalsByUlpDistance(xBits long, yBits long, signMask long, positiveZeroBits long, negativeZeroBits long, maxUlps int) : boolean from class org.apache.commons.math3.util.Precision"
claude,2,27,Parameterize Attribute,"Parameterize Attribute SGN_MASK_FLOAT : int to signMask : long in method private equalsByUlpDistance(xBits long, yBits long, signMask long, positiveZeroBits long, negativeZeroBits long, maxUlps int) : boolean from class org.apache.commons.math3.util.Precision"
claude,2,28,Parameterize Attribute,"Parameterize Attribute POSITIVE_ZERO_DOUBLE_BITS : long to positiveZeroBits : long in method private equalsByUlpDistance(xBits long, yBits long, signMask long, positiveZeroBits long, negativeZeroBits long, maxUlps int) : boolean from class org.apache.commons.math3.util.Precision"
claude,2,29,Parameterize Attribute,"Parameterize Attribute NEGATIVE_ZERO_DOUBLE_BITS : long to negativeZeroBits : long in method private equalsByUlpDistance(xBits long, yBits long, signMask long, positiveZeroBits long, negativeZeroBits long, maxUlps int) : boolean from class org.apache.commons.math3.util.Precision"
claude,2,30,Parameterize Attribute,"Parameterize Attribute SGN_MASK : long to signMask : long in method private equalsByUlpDistance(xBits long, yBits long, signMask long, positiveZeroBits long, negativeZeroBits long, maxUlps int) : boolean from class org.apache.commons.math3.util.Precision"
claude,3,1,Extract Variable,"Extract Variable floored : double in method private roundUnscaled(unscaled double, sign double, roundingMethod int) : double from class org.apache.commons.math3.util.Precision"
claude,3,2,Extract Variable,"Extract Variable floored : double in method private roundUnscaled(unscaled double, sign double, roundingMethod int) : double from class org.apache.commons.math3.util.Precision"
claude,3,3,Extract Variable,"Extract Variable floored : double in method private roundUnscaled(unscaled double, sign double, roundingMethod int) : double from class org.apache.commons.math3.util.Precision"
claude,3,4,Extract Variable,"Extract Variable halfFloored : double in method private roundUnscaled(unscaled double, sign double, roundingMethod int) : double from class org.apache.commons.math3.util.Precision"
claude,3,5,Add Variable Modifier,"Add Variable Modifier final in variable fraction : double in method private roundUnscaled(unscaled double, sign double, roundingMethod int) : double from class org.apache.commons.math3.util.Precision"
claude,5,1,Extract Method,"Extract Method private roundHalfEven(value double) : double extracted from private roundUnscaled(unscaled double, sign double, roundingMethod int) : double in class org.apache.commons.math3.util.Precision"
claude,5,2,Rename Parameter,Rename Parameter unscaled : double to value : double in method private roundHalfEven(value double) : double from class org.apache.commons.math3.util.Precision
claude,7,1,Extract Method,"Extract Method private hasFractionalPart(value double) : boolean extracted from private roundUnscaled(unscaled double, sign double, roundingMethod int) : double in class org.apache.commons.math3.util.Precision"
claude,7,2,Rename Parameter,Rename Parameter unscaled : double to value : double in method private hasFractionalPart(value double) : boolean from class org.apache.commons.math3.util.Precision
claude,7,3,Replace Conditional With Ternary,"Replace Conditional With Ternary if(Double.isInfinite(x)) to return Double.isInfinite(x) ? x : Double.NaN; in method public round(x double, scale int, roundingMethod int) : double from class org.apache.commons.math3.util.Precision"
claude,9,1,Extract Method,Extract Method private powerOfTwo(exponent long) : double extracted from Precision in class org.apache.commons.math3.util.Precision
claude,9,2,Extract Method,"Extract Method private signedCompare(x double, y double, equal boolean) : int extracted from public compareTo(x double, y double, eps double) : int in class org.apache.commons.math3.util.Precision"
claude,9,3,Extract Method,"Extract Method private signedCompare(x double, y double, equal boolean) : int extracted from public compareTo(x double, y double, maxUlps int) : int in class org.apache.commons.math3.util.Precision"
claude,10,1,Extract Method,"Extract Method private invalidRoundingMethodException(roundingMethod int) : MathIllegalArgumentException extracted from private roundUnscaled(unscaled double, sign double, roundingMethod int) : double in class org.apache.commons.math3.util.Precision"
claude,11,1,Extract Method,"Extract Method private invalidRoundingMethodException(roundingMethod int) : MathIllegalArgumentException extracted from private roundUnscaled(unscaled double, sign double, roundingMethod int) : double in class org.apache.commons.math3.util.Precision"
